ES ENT,R12565927
US AUY,R179887
PL OSR,R2908854
DE ZSK,R1250385
NL MSB,R1410871
US IFS,N154377992
DE 3AS,R548034
BE CLY,R12911346
BR MOH,R301195
FR JLV,R908128
BG KOS,R1978772
US USK,N150938016
ZA BRR,N36231454
US 2SI,R113818
CH RGG,R1682394
BR MND,R363021
CA AAB,R9451101
PL BRG,R2813155
GR LII,R2215271
RO MUT,N454150391
US OOF,R184097
US QHK,R128561
FR AN5,R58065
IE DRM,R2308209
NL TAK,R1434037
FR ABZ,R120544
DE ELH,R1307660
CN QGP,R3292760
DE HEC,R2779005
US HGP,R170626
US PSH,R8364261
PA MAC,N3168135067
CA YGC,R8460867
FR 3FO,R164197
DE KUA,R2786236
BE MGM,R9331968
ES OGM,R340592
GB CIM,R5951135
US XKQ,R183395
FR M4F,R414478
DE RDU,R551230
IL BDR,W79317077
AR GCA,R5282315
FR PIO,R187033
US WO7,N158243357
FR 2MG,R1782037
IN VRU,N3992907900
IE LEI,R6915481
NO LST,R10155374
ID PER,N457837553
US CYM,N150918482
DE DHU,R3483072
CA YOH,N52561751
SA KKH,N348108482
DE DKL,R1020429
BR CNT,R12123545
DE ZIQ,R403738
PK GHK,N66319295
US KY4,R185305
FR RRV,R55662
FR A7P,R1824716
US S7V,R112396
DE 62U,R404324
ES ELZ,N427089620
FR L26,R88677
US VTY,N151705030
IT RV5,R39198
HU SGZ,R1368045
BR UUB,R314863
IT TEO,R42107
DE ADK,R451777
ES SNV,N5718422753
PL KIK,N31589003
BR LAH,R362179
US PF5,R251770
US CXA,R135188
US LBJ,R3353286
KR GOI,N415160364
IT MLC,R42262
ZW NAG,R10686840
FI VIE,R2522182
CH SVI,R1684152
US 5GL,R137053
US SEX,R132070
AU BEA,R10585664
ES TEJ,R346321
KR ASN,R2409159
FR VGS,R2697344
DE K2Z,R2405010
CZ SLZ,R437526
CZ DNS,R438100
US KMR,R175029
US UYI,R170599
PL GWO,R2924852
FR OEC,R31255
DE MXI,N33212131
IT SUZ,R45728
ES RMY,R344410
GB ETA,R2850032
US BCS,R131694
DE ZJQ,R1077536
US BSE,R191223
AU RWE,R2406183
IT ZHV,R42066
IT RV2,N66503247
US SGT,R111270
MX OAH,N2803007844
DE 62D,N360208059
FI LIP,R2521592
IE ANT,N52244772
GB PSW,N267763043
GB FXT,R4655348
US LK8,R127918
PE YMS,R1994140
US XNL,R122953
FR ULM,R1730509
GB BLB,N21664801
FR ROS,R420907
IE FFO,R6301037
ZA NEA,N2688744108
CA LSY,N8762725912
US HFW,R238642
US MCO,R123442
BR SQS,R333990
CG MSX,N3300967701
US YOF,R182105
FR FRF,R812072
GB STT,R14383330
DE IEB,R1421454
RU BEK,W32885222
US WVS,N158814920
BR NDN,R301222
FR HCS,R157879
IT PCR,R40340
US P4C,R7898980
FR AAE,R2813433
FR JOI,R904664
CO CDO,R1343437
CA WNF,R9438958
US RUV,R7463746
FI LPV,R2521952
US 2HM,N151596553
AT RBA,R34882
US HEJ,W33612917
SE OFS,N27422249
PK RJP,R16108343
US SHU,R1844192
US NHH,N4487849512
DE NSW,R62724
IT CZ4,R46446
US P4L,R130103
MX TEU,N272110557
GB LMT,R1390179
DE JET,R1246677
MY LGL,N4833964300
CO GPI,R1310021
FR VE7,R155877
CN RLC,R2753021
IT ZYL,N2430563362
BR CRO,R242295
US BK9,R176127
FR VET,R75518
US 7MS,R8903561
FR JMZ,R1843133
NG GBA,N501527574
DE LT9,N307081793
DE EGS,R2186918
FR LIX,R281346
CA BEA,N52553839
NO AKH,N4849029095
IT SIE,R8826250
FR AS5,R74316
CA ABB,R2221182
CI XMB,N2735818843
CH HTL,R1682137
US TUT,R13594207
CA CQ5,R7360111
NO YTR,N4566644129
ES RCC,R347491
BE HSL,R4215938
DE ZDN,N18481613
US KRC,R140806
PT VDN,R5402587
US LV4,R178953
US AGD,R7456000
US IAX,R130092
ES ADO,R345060
US HHS,R129950
ES AR9,N288260755
FR PYM,R128158
FI HHO,N256748123
US V9N,N157634536
NO SEL,R405161
ES GAX,R344711
NL HRB,R2721356
DE BUE,R147447
IN KTD,N9217055588
IT RAL,R44645
CZ BNY,R436852
SE FAA,R935504
RO LUG,R10643314
FR PUA,R276814
AT GHR,R3837917
DE WOW,N335879228
MX SPC,W484239055
BR MMG,R334515
CH OLO,R1685077
PT TCS,R3981773
NO BJO,N415487250
US 5WP,R128624
DE NHM,R420483
PL MYC,R2776116
US DOX,R137861
GB HXL,N56107190
US 5LS,N154384741
UZ UGC,W110132970
BE RQS,N156623355
FR TSV,R401187
SI POD,N2911803264
NO GRZ,N2710942444
GR PAI,R13389136
NL TGE,R2712967
US OWN,R188846
NL GRD,R2714647
US SLO,R126220
CN BBU,R3262334
US SIS,R133501
IT PRF,R42440
SK TKY,R2206763
DE TCE,R416408
GB HDN,N26703051
FR V8Z,R158898
US PE2,R175009
HU EGE,R1418154
FR RYY,R418197
DE SWH,R1255887
US XEV,R1805428
RS VLA,R7222998
US ZE4,N150933549
IE KCK,R4478505
FR JVA,R166910
US GVV,R252246
IT AAA,R39207
IT SAI,N2608228183
FI ORV,R1700624
FR ATM,R29366
US SOP,R180010
FR SY2,R1340512
US AUL,R119971
PL KWY,R3101305
US OCC,R112452
DE 74O,R1168914
ES ERB,N492413051
US ZSP,R136887
FR LFM,R150712
US DG2,N154289367
FR YCV,R111182
PA PCI,N2530911816
US WAK,R3245837
BR ZAE,R301312
FR BXO,R148135
AT POG,R554893
ZM CHI,N1166695047
DE RLE,R53945
FR S5G,R1571468
FR OBY,R85665
US BK3,R142510
ES JCO,R343334
AU AWK,R11675621
ES ECP,R340030
AR PLA,R3153109
AT STA,R3851322
IT MEA,R49128
US VDX,R251740
US JQJ,N4932709768
FR JPT,R959208
IN IMF,N569040820
AU HPK,R5539505
DE ACW,R1182036
RO ARI,R13854967
DE 73I,R1337350
IT ZKG,R46144
IN MKM,N1124400515
CH WFL,R1684569
ES BLC,R339815
CD INO,N82673255
US F5K,N141035491
ES HG2,R344263
CZ PCN,R441297
MX 9TJ,N299805037
LR GBS,N2189927054
IT SGN,R179183
FR HOD,R75524
US LRF,R111152
US MHF,R8541003
DE 76P,N29132695
US ISV,R239851
GB MAK,R7779787
DE 75G,R3411187
PA TOZ,R9364701
FR CRH,R178138
US NGO,N153688106
BR CZI,R298459
ES OMO,R345494
FR DUL,R1346218
JP AKE,R4071241
PK SKP,R16108398
US HVS,R193944
FR BAB,R270265
JP KAA,N6745472840
BR SFZ,R315045
BR KLO,R314984
BE LOC,N742599834
IT C2S,R44064
GB GAG,R1635054
TZ KIT,N5658281970
AU QDB,R11677880
BE ASE,R3390354
GB BOZ,N685055187
SI ZGL,N1670563764
IS BOR,N122275012
IT CDD,R45178
BE AEJ,R1274223
US MHB,R126054
US MPL,R197450
FR SAM,R941537
US OMO,R186618
US Y9O,R186473
US LKF,N150938313
UA NAD,R3704762
FR RTF,R148332
US JKR,R207048
US S8B,R12194307
FR AV4,R104342
US SAO,R181660
FR D5L,R126526
DE 74Y,N1588749780
US SMJ,N150970688
US XVN,R186621
US IRJ,R170777
FR FVU,R71457
US DBR,R7272641
LB ZUK,R7696371
FR RTC,R6870352
FR LHX,R1348560
FR BUD,R2773252
PG GAP,N7807166813
BE ENG,R2002639
CA CRP,N293306455
SI KMD,W121903429
GB LHI,R11001116
US RXX,R181932
US CRN,R129138
VU ULB,N331823099
BE TBZ,R386970
FR GO3,R387078
DE OEL,R151333
SA UZH,W785290146
CL LIN,R255309
SE SMD,R935489
US DDO,R6587589
PL SGL,R2851624
ZA EUS,R12668944
BR PMY,R297696
SE VGO,N2235056015
HU BEK,R1026172
NG QYB,R11822091
DE BMR,R897893
US T3W,R195485
GR MGO,N308839921
BG CHV,N273488939
US VDI,R119444
BR NHE,R298133
AU CTN,R11677363
ES ZIE,R345098
RO SCS,R14431578
US FFH,R6587471
FR 2YY,R117209
GT TAX,N1039835547
DE BRF,R5432740
KR BIN,N5182860645
AU BBL,R5823280
FR BH5,R102899
US EGN,R125795
MY SBS,N254074108
ES MCT,R344210
CZ IVA,R441912
GB MTG,N585352349
IT ELL,N318680852
FR HNV,R531634
CH KON,R1682513
US LH9,N158542207
FR BR3,R128728
FR 24S,R1676654
US CIK,N150918450
GB BMA,N29425285
IT DEX,R43896
DE LSU,R238962
AU RBG,R9108140
IT TYO,R41231
FR RU7,R107658
US UFC,R141138
DE 76M,R1101319
ID JUT,R7626002
AU ELZ,R7379422
US FQO,R11166266
FR TTK,N259744744
HN LMH,N3292356161
DE EMD,R1477861
FR TUE,R396712
GB BHC,N254041477
ES PNZ,R342777
DE 8MB,R391363
FR PLM,R910544
US IWR,R128978
AR MOQ,R8085974
FR 3CM,R134319
IT AYM,R45629
AT HIR,N240054084
IT BIZ,R44364
DE BGR,R943535
BR MTK,R336760
NL KDO,R2714081
IT CME,R45113
FR ELL,R398217
SI ROC,N4261676636
ES BBB,R343102
DE SD3,R929726
BR IAU,R315407
DE GBZ,R551073
FR BIN,R550360
CA WAK,R7362443
SE BTA,N26581753
DE CUM,R1289809
ES HHU,R345330
US TSE,R176079
DE 32E,R2808131
ES BPO,R341208
US M4K,R125965
US L9V,R6687268
US PAX,R254009
FR YZC,R9097395
BO BJO,R4509723
ES CVV,R6410135
SK NKA,R2206957
US VOI,R176275
IT SCL,R179181
US WDO,R170947
IT GGD,R179090
NO LIS,N3500841363
US IEK,R176087
US B27,N150969386
FR RS2,R103718
CU SCS,R5892229
SI LZE,N445848708
DO VAL,N252997206
IE MOU,R9362902
FR CMC,R156743
PL GRI,N31590361
FR SWI,R102487
FI MKL,N4805573261
NL TWT,R414728
SA ALK,N32441763
PG TWY,N8501360352
FR EZM,R161219
NL WMW,R418425
US YPI,R9104520
PH OTP,R12268834
US SJN,N150975202
US LPL,N153696943
US RJW,R124815
PE SDC,R1968047
IT SVI,R43461
DE B9S,R10608794
BR DWS,R301304
US IL9,N158393105
BR CYB,R303734
HT TRG,N616734724
ZW ZVS,N309376734
IR SDG,R8197425
IT DIO,R45081
CH BUN,R1684290
JP AMG,N8335007408
ZA TDD,N262717982
BO QBA,R4499782
HU SZY,R1131673
AU BDF,R7390240
US OQG,R3158851
LI PLK,N32011241
EE TAE,R352520
BR GLL,R5214119
GB RNH,R7582984
BR YBR,R362524
FR SBY,R167618
GB MKO,W197082262
BR RSP,R325848
FR PAX,R160884
ES TN6,R342726
IT HHR,R43714
PL JAR,R2647732
SK PDT,R2169291
US ZSE,R119791
FR ER7,R75205
DE KSS,N240121415
IT ZUR,R41193
ES CO7,R342278
AT 8HN,R915363
US KM9,N154082206
FR BR4,R78612
CH TNK,R1683712
IT OZV,R45003
BG VAR,R1404291
FR CQL,R169017
US PMS,N158291495
SE SUN,N365761014
BR SFE,R334406
IT CD3,R44131
TR PAY,R3664639
CO CSR,N703518034
CA LNB,N3613779699
CH AFF,R1684496
FR NGO,R1188507
AR MDZ,R4206710
CN TIS,R3463958
CH SVA,R1684753
US IXC,R179888
BR EBE,R242655
AR SNS,R8186133
DE HQD,R966144
US BJR,R9101560
FR CN8,R120078
US ZEL,R187235
FR MYP,R103238
CA ADV,R9198097
US AHU,R118873
US LF7,R181508
US OBZ,N157572665
CO NCI,R1343461
US OFT,R178998
PL PEL,R2607929
US RSD,N158805946
BE RNM,R3004240
US K9C,N154028465
PT MUS,W552809136
AL LUS,R1251494
FR DV5,R941070
US RKV,R133700
DE PRO,N1608181903
MX MGL,N3171370198
GB NLS,N29731890
ZA KPM,W134636512
US YOD,R12170697
US MJU,N158823964
BG XCR,N262893507
US LBT,R179883
US LER,R179912
GB ILL,N5663911130
CH GNS,R1683515
BA CIT,R2528181
ZA BRV,N262726120
PA BCC,R8790075
US WYD,R134610
FR MVC,R63573
AU DMD,R10921477
GB AHS,N26016747
FR GMC,R110590
GB BDY,R11177377
DK GFH,W456762529
FR NTS,R85771
ZA BOK,N26458742
US FHV,R206649
US DW7,N151677390
FR BPG,R58383
DE FKH,R2795772
IT 5G3,W1104734097
DE HLH,R1286638
TR MKG,R1797146
US M3G,N153710016
US RYR,R134818
AU ZLM,R11677785
AU WEL,R11689292
GB PRW,N27329885
SE MAL,N1528341117
DE 68S,R935243
BR MTP,R315329
AT RUN,R313517
GB HAF,R6137325
ES SI2,R340365
ES PZN,R342205
FR VO9,R120110
BR CAT,R302501
GB WPS,R11532440
US CAT,R197279
UG KIS,N9658058085
US AKR,R176037
CN SAN,N8375462729
GB LYD,R5955795
FR RBC,R372814
US UMM,N150919383
GR KAL,N130250606
CA GBA,R7903229
CO SRS,R1324954
BR MBV,R296569
PL KUY,R5580390
CA SEA,R9130548
US G77,R11059190
CA SUP,R7765239
IT FMG,R43283
GB ZBV,R1444360
BE AVG,R2002464
FR 2BC,R2383547
FR GYU,R2353939
CN TNJ,N244082077
BA VKB,N765199709
FR VZN,R191434
US FS6,R185132
GB FN2,R6318062
FR VA8,R385997
CH BRO,N240065085
BE WPE,R912036
TR GRS,R1273957
IT PG2,N1821608303
ES VLJ,R341366
DE 2AA,R2801344
NL GEC,R2730153
BR AHZ,R334600
GB DRT,N29621058
GR TPA,R14931770
FR MNC,R3019951
TT MCY,N9987627121
MX ZTP,N356333752
ES LNZ,R345253
AU SRH,R2451381
US BFM,N151410187
BR FCA,R298262
TR YAT,N1985700614
FR NPR,R104702
SK MEZ,R2321954
FR EUD,R3311137
IT NSA,R43858
JP NGG,N8742559704
SE MEL,R935622
PA PBM,W30841752
DE WMI,R537060
US N4R,R188912
US LQN,N151830561
IE RNG,R5856946
IT PRL,R39191
CN GYO,N5911990125
US YIA,R140161
FR MVF,R1973714
CZ VFA,R439609
GB CUE,R4276213
PL OYE,R2643806
IR QHK,R6758970
PK KHB,R16108413
US NB3,R135074
GB FZE,N898864105
IT CCR,R44428
ES MNZ,R340829
IT RRS,R40576
US CAW,R127717
PL RWI,N1829580958
US FOR,N150940148
US PO7,N151666463
AU PU7,R6059206
US EAK,R11065707
FR F23,R141075
US GAM,R10810985
BR SOV,R298503
US MRK,R1216772
FR PSV,R166797
CO SDQ,R1717035
PT PNL,R5379543
DE SGR,N119732217
LU LWR,R1333118
MT DGL,W46841193
GB LOB,R6086894
PL ZOW,R3136410
NO MLA,R1312725
PK DBA,N271909276
ES MGC,R341343
PT TVR,R5404224
GB SY5,R7848195
US CZE,R10908821
GB CFZ,R3422496
AU BVL,R11693063
DE NIL,R1428482
BR ARW,R301427
US C2L,R183457
IT UUD,R179128
IT SNP,N3980125044
FR V2V,R191731
NL TET,R2712698
IT CVL,R46323
US FQX,R127573
CN FDU,N3182070032
US RO4,N154091222
FR P9D,R5815693
DE IBR,R929705
US ROS,R182441
ID PAS,N1308707335
GB HZG,N313284195
BO ZUD,W432395956
US MKR,R188550
BR VCN,R334043
NO KGF,N3690530483
DE INM,R80449
IT ZGQ,R39288
MY KTE,N254073306
US RVX,R2965389
ES ZBG,R341046
FR DCT,R167105
GB ZDE,N199756523
US PK7,R194911
BR NIB,R296630
CA PHA,R9334420
US HS2,R137809
GB ZBJ,R3291850
IT RDR,R44065
PT MGL,R5331547
IT LZE,R45105
US OXB,R1844185
KR NSN,R7580853
NL BHE,R1450560
NI MGA,R5835475
AT SZG,R86538
FR ZMM,R3338115
FR SLM,R122811
BE FLT,N247889097
IT CBR,R45904
FR UYJ,R71638
FR PI2,R1106282
BR CSA,R303752
GB TND,R4239843
DE 2AR,R3968428
CH ACL,R1684829
DE NBC,R1184568
GB CWR,W1151350425
FI KRS,R2365311
GB IBH,R1022411
DE RUA,R1268940
FR AY8,R153876
BR TRI,R302541
AT GGM,R106280
US YW9,R3492436
IT B22,N2630596355
IT VDD,R45802
AR BES,R9401481
US IBE,N153870876
US CSF,R170524
BR TGA,R302574
FI TLP,R2523790
BR TRZ,R296633
TH BKH,N1747791265
FR HYD,R3004104
FR V24,R1982711
US KTY,R130633
CH OBB,R1683560
NL GAS,R2722697
AT EZF,R8894786
FR OMO,R1279488
IT RC5,R40332
AT SEE,R942611
ZA GLC,N94845554
US 3GR,R9101825
DE NTD,R956656
BR DIO,R302803
GB FFO,R6073392
NL OMR,R162194
DE ATZ,R2808296
US PDM,N154106166
FR JVR,R1001387
FR 4BB,R146290
US NEY,R4551439
DE AHG,R530915
US OUJ,R6603697
DE GWT,R11338919
FR RQG,R92505
US S5U,R13594205
US ZNP,N141038320
ES LLE,R346345
CZ VLV,R428049
US NSU,R132037
CA MKR,N1454907550
ZA BEL,W688943288
US EIS,R111562
US AJO,W33197683
IT BBZ,R47282
PL NKK,R5551742
CA FSI,N1842940606
FR S9V,R2032127
FR 5ML,R142769
DE KIC,R275108
FR GNF,R551304
US WCN,W33005814
FR H5V,R2839737
US EAZ,R132828
CA CSO,N51970993
DE TPU,R176419
IT LAS,R47258
DE 64C,N460390223
BE SKE,R2242983
IT LJB,R42587
ES MNM,R340381
FR GBM,R63216
BE MGN,R13072579
DE QP9,R282347
BR KNT,R303759
BR IAG,R314846
IT NEV,R45921
US EPK,N153985650
BR ERR,R301384
GB FOR,N347420316
FR SYU,R3339573
BE LFA,R3479802
BR RTS,R296520
FR CKA,R398670
PL ZAW,R3091168
US S5B,R132079
TT TOB,N1100545025
DE 55Z,R1465972
FR W5U,R280587
FR AR6,R129466
DE BEQ,R124297
FR SWO,R144617
US HDC,R133673
US EP4,N151722216
FR C3M,R124647
AR CCB,R3467208
AD SJL,R2804759
FR HRV,R172627
AT DDT,R391985
IT ZCW,R41248
FR DF5,R2733913
FR ENG,R53365
PL NDA,R2970281
IE MID,R6934510
RU TAU,R4740792
BR YPE,R314833
DE 67B,R1149234
US LVO,R132096
US WQA,R2395705
PT ETR,R5321485
US OSK,R194996
DE IDF,R936921
US SCP,N158569139
ES ZNJ,R343882
PH POL,N198514566
DE ZNN,R1818809
FR H4R,R58072
US 5KB,N154319010
CO TCO,R1311750
ES SDF,R342162
PL KUT,R2929612
US 9KA,R119149
US HBM,R175560
JP SZK,N8479281725
IT ANJ,R44733
IT ZQN,R45337
FR QYV,R164065
US YVD,R117153
DE XYD,R443595
GB WNY,R812458
DE OLL,R2792631
PK NSR,R16108325
CN DGG,R3464319
AR SMC,R3486117
FR MVN,R115823
